Parameter,Mean,Median,HPD_lower,HPD_higher,q_lower,q_higher,Rhat,n_eff
lambda[1],1.25135757205,1.25472,0.458012,1.96444,0.4826171250000001,1.9970109999999999,1.0061939,  523.5135
lambda[2],0.23381440859169583,0.232763,-0.488739,0.994739,-0.5153627499999999,0.9740062499999999,1.0060095,  508.4761
lambda[3],0.78554751477325,0.785178,-0.00482314,1.58915,-0.004573034999999969,1.5894594999999998,1.0059637,  567.2966
lambda[4],-0.3798153835288667,-0.372134,-1.15207,0.41132,-1.1758794999999995,0.3970916749999995,1.0055411,  550.1421
lambda[5],0.2776646277319917,0.27736649999999996,-0.488764,1.04881,-0.498357375,1.0454552499999998,1.0058567,  540.9179
lambda[6],0.5693267606075,0.5730284999999999,-0.194828,1.31634,-0.20369402499999992,1.3083622499999998,1.0062543,  533.8402
lambda[7],0.38441225165758336,0.38504,-0.392967,1.12981,-0.39003277499999994,1.1332329999999997,1.0059102,  536.6218
lambda[8],0.23771884971558332,0.24106149999999998,-0.687551,1.15239,-0.691483475,1.150121,1.0036577,  789.4691
lambda[9],0.4185055937319833,0.4232785,-0.435617,1.252,-0.43463397499999995,1.2535807499999998,1.0050182,  627.3339
lambda[10],-0.25857053218285836,-0.2553955,-1.00284,0.572881,-1.06222025,0.5250256999999999,1.0058378,  554.9187
lambda[11],0.17355249343741666,0.175626,-0.585218,0.94592,-0.6120953999999997,0.9280036749999999,1.0047136,  552.3429
lambda[12],0.004991429150491667,0.00479135,-0.794931,0.742707,-0.7790227499999999,0.765111675,1.0052530,  554.7694
lambda[13],-0.6934378832280833,-0.6845600000000001,-1.61965,0.199579,-1.61840875,0.20139959999999985,1.0047878,  781.9330
lambda[14],1.3707048135735,1.37244,0.603226,2.20066,0.560194375,2.16226575,1.0049272,  567.5879
lambda[15],-0.07418149713677501,-0.0734669,-0.855257,0.715915,-0.8644985499999999,0.7090800249999999,1.0042368,  535.0158
lambda[16],-0.6763022972231667,-0.6723665,-1.4904,0.128911,-1.4904297499999997,0.12880862499999995,1.0063238,  564.4514
lambda[17],1.49813316727,1.502345,0.7329,2.23586,0.73785565,2.2423135,1.0058715,  520.6742
lambda[18],0.7840806637409167,0.786726,0.0388107,1.57447,0.022904097500000047,1.5608805000000001,1.0058616,  533.1973
lambda[19],-0.5884993728173666,-0.5876494999999999,-1.38997,0.216193,-1.4070379999999998,0.2021032249999995,1.0053619,  604.2519
lambda[20],2.37834602075,2.375455,1.50371,3.16345,1.5423037500000003,3.2093415,1.0055249,  610.9463
lambda[21],0.05108949416180834,0.052928050000000004,-0.881219,0.955181,-0.867761,0.9741854499999998,1.0048441,  777.8695
lambda[22],1.1255105929866667,1.126365,0.386347,1.85789,0.38699925,1.8588259999999999,1.0060286,  508.6075
lambda[23],0.14288335221516665,0.1411,-0.619343,0.92011,-0.640463575,0.9043509499999997,1.0056700,  553.8467
lambda[24],0.5978465062232083,0.600511,-0.141913,1.36243,-0.16647037499999992,1.3436672499999995,1.0057690,  533.4162
lambda[25],-0.31262084447443333,-0.311031,-1.08122,0.471896,-1.0995879999999991,0.45895252499999983,1.0050902,  548.0317
lambda[26],0.19548815932842167,0.19773600000000002,-0.528435,0.954864,-0.5631590999999999,0.9272882499999999,1.0058364,  513.7679
lambda[27],-0.07221361779915,-0.0679897,-0.871069,0.757227,-0.8899940749999996,0.7405366999999995,1.0053924,  626.1307
lambda[28],0.90887337618025,0.9166810000000001,0.128677,1.6485,0.13499285000000028,1.6567394999999996,1.0064690,  528.0951
lambda[29],0.6729588825404766,0.6766915,-0.0620349,1.43714,-0.08264447249999951,1.41844525,1.0065408,  511.0063
lambda[30],0.41155161633816667,0.4130795,-0.371706,1.1897200000000001,-0.37981009999999993,1.1861359999999996,1.0056064,  556.9176
lambda[31],0.2902548053191583,0.29404549999999996,-0.486196,1.03906,-0.48106522499999993,1.04668175,1.0062416,  503.3910
lambda[32],0.38846713368741664,0.3914395,-0.353773,1.16126,-0.375844375,1.14899125,1.0070112,  515.7262
lambda[33],1.0133758105059167,1.02036,0.243423,1.7684,0.23116782500000002,1.76219525,1.0067441,  526.2925
lambda[34],0.23107065291184167,0.234897,-0.551313,1.03309,-0.5768903999999998,1.0097379999999998,1.0056065,  588.5902
lambda[35],-0.16003464456948832,-0.156578,-0.941254,0.672499,-0.9918901,0.632270925,1.0047103,  612.2511
lambda[36],1.1536310167308332,1.160795,0.320396,1.90065,0.34790445000000003,1.9440825,1.0063648,  563.4618
lambda[37],1.1009855437571667,1.10783,0.337904,1.84511,0.3261538500000001,1.83903475,1.0064249,  518.1690
lambda[38],0.06520496212695834,0.0692585,-0.694771,0.823901,-0.7043055749999999,0.817308675,1.0060229,  536.3356
lambda[39],-0.8059915822981667,-0.7995135,-1.69702,0.0841435,-1.7166217499999998,0.0671724524999988,1.0045564,  720.7951
lambda[40],-0.3844923040389417,-0.376838,-1.25393,0.464967,-1.2612172499999998,0.459005675,1.0038330,  673.9937
lambda[41],-0.5837812116482917,-0.5843655,-1.37873,0.229408,-1.4042135,0.2095589249999997,1.0053812,  615.1526
lambda[42],-0.5656696568193333,-0.5675844999999999,-1.34397,0.282816,-1.3843922499999999,0.24700252499999953,1.0051104,  607.6950
lambda[43],0.8230262393698833,0.8283119999999999,0.015827,1.58995,0.02996035250000001,1.60621675,1.0053594,  551.1687
lambda[44],-0.25683562672916666,-0.2563875,-1.05569,0.51016,-1.0514652500000001,0.5185176999999999,1.0057925,  588.8655
lambda[45],-0.6630792750141666,-0.659651,-1.55145,0.226811,-1.5674747499999997,0.21384184999999975,1.0047412,  731.2849
lambda[46],-0.14822612859099166,-0.149091,-0.887605,0.644364,-0.92015985,0.6215145,1.0058055,  547.0784
lambda[47],-0.9823675541931667,-0.9763525,-1.94354,0.00648854,-1.9779527499999998,-0.02241521250000014,1.0035068,  813.5509
lambda[48],0.8193742933033333,0.8234405,0.0062029,1.60324,-0.00807046949999999,1.5915205,1.0050823,  576.2705
lambda[49],-0.4377347609650167,-0.43324300000000004,-1.27767,0.41535,-1.3040687499999999,0.39408209999999977,1.0047509,  652.0907
