Parameter,Mean,Median,HPD_lower,HPD_higher,q_lower,q_higher,Rhat,n_eff
"U1[6,2]",-0.31915140564916666,-0.3191265,-1.97114,1.25984,-1.9421664999999997,1.307961,1.0000469,17995.014
"U1[7,2]",-0.49595941396666665,-0.503758,-2.0486,1.17545,-2.074346249999999,1.1621297499999996,1.0002741,19690.939
"U1[8,2]",1.2829567741124333,1.2865950000000002,-0.314135,2.80539,-0.2952818249999999,2.8318142499999994,1.0002986,17506.607
"U1[9,2]",-0.4526561134761667,-0.45499,-2.03558,1.20324,-2.0704319999999994,1.1707637499999997,1.0001700,16500.078
"U1[10,2]",0.6059549712565,0.6035355,-1.02318,2.24157,-1.0225707499999999,2.24416075,1.0005372,17258.809
"U1[11,2]",0.9900154541621666,0.9926315,-0.534108,2.56597,-0.5467196999999998,2.5565229999999994,1.0000168,15610.243
"U1[12,2]",-0.14797073467643335,-0.15072449999999998,-1.71554,1.45386,-1.7304105,1.4457637499999998,1.0006574,15969.751
"U1[13,2]",-0.50704235759675,-0.511682,-2.17459,1.19065,-2.203520749999999,1.1769914999999997,1.0002888,19682.366
"U1[14,2]",0.9265965167330916,0.9238545,-0.750347,2.54846,-0.7251807499999998,2.576472,1.0000847,18342.877
"U1[15,2]",-0.353251948987,-0.36139449999999995,-2.01799,1.23249,-1.9833394999999998,1.2704424999999997,1.0002338,17835.297
"U1[16,2]",0.11445805551258334,0.1117145,-1.43669,1.79906,-1.5067095,1.7408194999999997,1.0006338,18392.143
"U1[17,2]",0.06073870596191667,0.05755235,-1.52858,1.60282,-1.50843925,1.6351557499999994,1.0000426,16726.487
"U1[18,2]",1.41455790762475,1.4197549999999999,-0.244646,3.08639,-0.2660536499999998,3.066146,1.0008927,17785.354
"U1[19,2]",-0.526885158329825,-0.5305489999999999,-2.19934,1.10526,-2.171819999999999,1.139547749999998,1.0000336,19812.297
"U1[20,2]",0.802348925505975,0.8029364999999999,-0.773983,2.3698,-0.7690547499999995,2.3812010000000003,0.9999626,18001.349
"U1[21,2]",0.17665360419175,0.17951050000000002,-1.4052,1.77222,-1.4211069999999997,1.765563999999999,1.0007620,16931.589
"U1[22,2]",-0.25181891283475,-0.254141,-1.8344800000000001,1.38133,-1.874494499999999,1.3502679999999998,1.0007388,18556.489
"U1[23,2]",-0.12022915609516667,-0.11785999999999999,-1.79003,1.50847,-1.7668615,1.5463514999999994,1.0003359,20724.317
"U1[24,2]",-0.08014495979986666,-0.0812667,-1.78585,1.5978,-1.783622,1.603094499999999,1.0004497,20368.440
"U1[25,2]",-0.4541016793453417,-0.45428,-2.12383,1.16115,-2.0836725,1.2127962499999996,0.9999808,19171.390
"U1[26,2]",-0.6183013207486666,-0.622385,-2.49938,1.20343,-2.4883057499999994,1.220902499999999,1.0004547,21929.577
"U1[27,2]",-0.6648134066139083,-0.6657225,-2.42576,0.954352,-2.341893249999999,1.04472675,1.0005685,20192.134
