variable,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prior_lambda_std,0.7819810767063659,0.0016496278698514056,0.07322096611963212,0.6512133618460907,0.7299555280967455,0.7786786185007841,0.8276754068269268,0.9378193185294612,1970.1483955903282,1.001557077110035
lambda[1],0.17881980877458775,0.00904009480537029,0.6050760173156189,-0.9918733938321446,-0.22816222965470567,0.1700835281890836,0.5825933753828345,1.3696401311338162,4479.957657211056,1.0001778921055913
lambda[2],-0.13394748320820948,0.00591992278851994,0.277469268518343,-0.6844182855058699,-0.3192759228163161,-0.12982806156083665,0.05043345020127933,0.40087129632449225,2196.8362876479555,1.0017892235746757
lambda[3],0.17980909202664314,0.006037825578236487,0.30043956794753063,-0.4150159919297024,-0.018062340498976665,0.18186537512316958,0.3773008175131475,0.7627602603907675,2476.014203972077,1.000595774676338
lambda[4],-0.9649027309089103,0.005824215065504458,0.3928791082280331,-1.7566489750033203,-1.228710241197282,-0.9534838718725861,-0.6963537429774689,-0.21160270263413164,4550.331782209872,0.9995331058247828
lambda[5],0.4202075935022297,0.005562455262248905,0.2627165589133372,-0.08176007043303425,0.24730047462880422,0.4193330199867732,0.5897172519149326,0.9356926599138848,2230.7034141532354,1.0008642095464837
lambda[6],-0.27510932137178923,0.00547196607996321,0.24925298453735367,-0.7540790472527049,-0.4443377685678582,-0.2742189772688528,-0.10753232223677178,0.21163624326234737,2074.8845711498584,1.0011765029329753
lambda[7],0.20084615628124625,0.005920376216478817,0.2222293203961517,-0.2260444693818337,0.05164548154281211,0.2001214232205748,0.3485518025396934,0.6443230682042967,1408.9776550476784,1.0021895340962854
lambda[8],-0.488038492768833,0.0056938173887144785,0.39573441966675976,-1.2694364299454233,-0.7485674435329681,-0.48483175495486497,-0.22141605332603762,0.27268871653199667,4830.594493832793,1.0000211885075567
lambda[9],-0.6756634879915333,0.00841770014164141,0.5479275883971608,-1.7898408159535957,-1.0405505729292712,-0.6512360128913215,-0.30569832119687973,0.35965247135291323,4237.009459716044,0.9997556713147172
lambda[10],0.5752066788274057,0.0062304343164473665,0.18036209407711226,0.2280537874930898,0.4553013320027247,0.5714567375883665,0.6918913900250163,0.9358384471814171,838.0190558341127,1.0049885031689663
lambda[11],0.04154624426822153,0.006125613821964232,0.2021474141151605,-0.3681177698505968,-0.08978148384326247,0.04249888666930894,0.17307246741073593,0.44086808952994744,1089.0232512409157,1.003697807976989
lambda[12],0.43276453061493525,0.006042870164618296,0.1833321176714975,0.0778976856725434,0.3074122037271628,0.4308493531951101,0.5579402667618119,0.7849288669046447,920.4296146724458,1.0043945382743382
lambda[13],-0.35747176578774764,0.005711070574219035,0.37350307456831905,-1.0858304014457139,-0.6124285520429213,-0.3596958257706867,-0.10109511218533065,0.3569709784892487,4277.13844874081,1.000091805998576
lambda[14],-0.5956485868933905,0.006291753686989289,0.41171197751303346,-1.4232176148203342,-0.8668094258532953,-0.5869637980420341,-0.3192512491214985,0.20508335809761052,4281.969590881541,0.9999864111320994
lambda[15],-0.29876139248459777,0.005368834795177614,0.18776027018119576,-0.6656951360088303,-0.42499941646561135,-0.29897904946600284,-0.16957049181850262,0.06316108540536265,1223.0587588103251,1.002913195918752
lambda[16],0.5836365898761253,0.005940848570027285,0.18497927434778616,0.2179445138432894,0.4578148567607491,0.5855791656952898,0.7083763934552836,0.9388332076968148,969.5030458444368,1.004813721033747
lambda[17],-1.1700641789029511,0.006418147664877538,0.41465240585074764,-2.0009856782464857,-1.4520837926501087,-1.1588489225713192,-0.8742255978803369,-0.399809291295278,4173.9665984130315,1.0000884548400448
lambda[18],-0.541074914854285,0.00565784970568982,0.24586301849078535,-1.0272435732717977,-0.7112548343851774,-0.5375813256874641,-0.36915285192122416,-0.06577423110243823,1888.3548365358577,1.0030183946297098
lambda[19],0.011461460785636916,0.005756939023066099,0.3059865189272261,-0.599946857513125,-0.19452164653885057,0.020310465693210523,0.21926701372470286,0.5998080613814412,2825.0186990220477,1.0003907163119352
lambda[20],0.663895451710583,0.006170866478591693,0.18633965656401782,0.3096343697363829,0.5346467486328965,0.6640477297144728,0.789400052100544,1.0352726920935467,911.8392499706179,1.0037235576361963
lambda[21],-0.024821743659522395,0.005499176377455684,0.23930639730554287,-0.4977035152836198,-0.18387900275488334,-0.02511242479980713,0.14110817162161032,0.4270652894785776,1893.709329765719,1.001207671669109
lambda[22],-0.21479165630441213,0.005173887731955266,0.21501820908801028,-0.6436332213200759,-0.35777141945824265,-0.2110934375298577,-0.0667644866647153,0.19462936749507273,1727.0960027067438,1.0013458366658745
lambda[23],2.2534556624919615,0.0065101771808358504,0.2023064333236588,1.861031723077673,2.11794320841112,2.2482089721005907,2.389546437314589,2.6579781928820667,965.6811854909593,1.0045509559507388
lambda[24],-0.37687046159705667,0.006243826907655192,0.3862834249984541,-1.11823771383941,-0.6459472736816473,-0.36762867008866085,-0.11598800434781403,0.3744288619603918,3827.4580281215262,0.9998340942394843
lambda[25],1.02121378048262,0.006071747377184797,0.18787111894256472,0.6484934150968283,0.8987076818331363,1.0206334291075998,1.146997179303949,1.3915425481982833,957.3983093154519,1.0055078346217436
lambda[26],-0.06818299051243858,0.009438778437483227,0.6932432484421974,-1.4524351351802796,-0.5295371299348599,-0.07059129963871347,0.3773299997144381,1.3009004621795623,5394.357360336635,0.9992904616475468
lambda[27],1.1779378318793619,0.006211587710965858,0.18976329280836668,0.810923264409802,1.0468718391487966,1.175663839529626,1.305614593243363,1.5588833133971647,933.295498802128,1.0037806131394496
lambda[28],-0.8645289605100227,0.007126820146053536,0.4337229474911622,-1.7697432675984859,-1.149871224257605,-0.8537466813592868,-0.5658090098546709,-0.04969056982736664,3703.6778394296734,0.9993190402310315
lambda[29],0.48464894829706834,0.006495122358140277,0.24331106901182015,0.002223762041097255,0.3192375642139813,0.48680243502017184,0.6443487209980686,0.9613960859658384,1403.2952650834177,1.0020059655797615
lambda[30],-0.6908011933426574,0.005477244996863461,0.23686003619973783,-1.1723348112475291,-0.8508351588916557,-0.6903879938339073,-0.5254316827276676,-0.23805098897747168,1870.0759626428185,1.0030465166686373
lambda[31],-0.048255644330394615,0.0061009257026553914,0.2534382551510191,-0.5508320803119887,-0.21273598304307986,-0.04303052056993966,0.12278831551343414,0.4439873336505416,1725.6506029353707,1.00062632558194
lambda[32],-0.6613729765661975,0.005752062496637249,0.2416469044127466,-1.1526651362768894,-0.8205377179730174,-0.6601284907219294,-0.503259487085007,-0.17748155688206915,1764.8803997254179,1.0018279355082396
lambda[33],-0.07455517990989802,0.007199912254894253,0.5058766963169932,-1.077795790038268,-0.4185227980788795,-0.06882146888771684,0.2719901971925396,0.8846472588431603,4936.679580998878,0.9994732482404793
lambda[34],0.8663792600849686,0.006257678394110346,0.18873695624268003,0.49432950247669555,0.7376441006310885,0.8639364195658772,0.9980664109363603,1.230139702635914,909.6774207323945,1.003659988241858
lambda[35],0.8425829329438872,0.005680709286756375,0.1921405667611932,0.4654307117927813,0.7148307514769751,0.8399392403227033,0.9687820446449557,1.2248321696308146,1144.0183896547187,1.0034114944280275
