Player,Ability,SE
Adam Feeney,0,0
Karol Beck,-1.3669661219728415,1.4832845228665086
Jimmy Wang,-1.3516320173431178,1.4147650470603228
Adam Lee,-13.793666764827668,11410.617489860038
David Marrero,-33.35973527588939,3814.8915277393608
Adam Pavlasek,5.21894732635175,1.5290392500619574
Mirza Basic,2.5923364930755888,1.3880144130460197
Marcel Granollers,1.9464216490852297,1.363716213201949
Lorenzo Giustino,2.713325002288116,1.4363014978563422
Evan King,2.4187413258167303,1.5486628956640929
Henri Laaksonen,3.1154187304270864,1.3887821370362388
Marton Fucsovics,3.404725563766878,1.3736920218844484
Gonzalo Lama,1.6099498979643212,2.001758944803997
Hugo Dellien,3.6021542364407537,1.4836677845079833
Maximo Gonzalez,-1.6177174729423973,1.5566063827560725
Darian King,5.0616690912422335,1.4997594223479653
Roberto Carballes Baena,4.098335218306405,1.3887867436757446
Andre Ghem,-0.35707072043740573,1.5260102176182033
Dennis Novak,5.321189752320143,1.4819942623445421
Hans Podlipnik-Castillo,-0.4927050403677478,1.7949283045460773
Petru-Alexandru Luncanu,-32.42612832068631,5246.598532971914
Adrian Bodmer,22.489050775136942,10754.013031019476
Arthur De Greef,2.9229822640015155,1.459912015585128
Adrian Mannarino,2.481408947361631,1.3610352798263199
Juan Monaco,2.269094139558635,1.3679388751997887
Stan Wawrinka,3.578583772726543,1.3603397342819554
Toshihide Matsui,-17.368203229138246,5274.9792324868295
Rajeev Ram,0.19203571517453502,1.3918352467022108
Arnaud Clement,-18.758115722984243,2027.9455952211044
Dominik Meffert,-1.576304632995538,1.6636374812347998
Edouard Roger-Vasselin,1.1277588185596925,1.3771574555593156
Paolo Lorenzi,1.2657187284911307,1.3704828352490757
Brian Dabul,-0.037237506167966644,1.7600935968771
Tommy Haas,1.4888074577642993,1.3794337388898936
Daniel Munoz-De La Nava,-0.4740104524357085,1.4712931097451347
Rogerio Dutra Da Silva,0.4094978343427172,1.3991268351605575
Conor Niland,-2.215595212326565,1.9648718174679083
Denis Istomin,1.7202037554671599,1.3628198706071468
Pablo Cuevas,2.289092839020908,1.3659280925317174
Alejandro Gonzalez,0.08364777449664064,1.4243142220915064
Jo-Wilfried Tsonga,3.3437961947894506,1.3602005952057046
Dustin Brown,1.4488862265131357,1.3737635159633628
Marcos Baghdatis,2.3927264287249397,1.362810353608005
Fabio Fognini,2.916341832132848,1.3585165694777959
Somdev Devvarman,1.073995546993199,1.3980031675227642
Lukas Rosol,1.8517324725487092,1.3651954032548366
Thomas Fabbiano,0.7782464892745994,1.3925459448944024
James Blake,-0.14940539620000573,1.4775783485924017
Juan Ignacio Chela,-1.112683731897969,1.5622390326069342
Victor Estrella,1.0097669380441525,1.3920481491669756
Konstantin Kravchuk,0.3442657548768955,1.4378645776968044
Pere Riba,0.7016504471546486,1.4091109187412338
Ivan Sergeyev,-16.982057316939766,3744.6994146775096
Illya Marchenko,0.9571079325941365,1.3871615441086238
Nikolay Davydenko,1.0639902834712889,1.3827905166586332
Malek Jaziri,1.98072049551382,1.371158704022303
Yuriy Schukin,-18.67360249010762,2233.6739170345736
Robin Haase,2.28977114101324,1.361572673154322
Dmitry Tursunov,0.28810269018141427,1.400537945287103
Marin Cilic,3.3900581566886503,1.35921142438446
Daniel Brands,1.5172813568975998,1.3775998855332017
Juan Martin Del Potro,3.83960236826721,1.3633547749061155
Julien Benneteau,1.805799320681613,1.3683178085874
Eduardo Schwank,1.6821099508911996,1.4943505076149914
Ivo Karlovic,1.9718699203960877,1.3618648712763421
Denis Gremelmayr,-3.4763680249145645,1.9545257697766216
Donald Young,1.9906591969553555,1.363647482650968
Fernando Verdasco,2.406061955891782,1.3597878052287018
David Ferrer,3.318743944201063,1.3594284983226592
Erik Chvojka,0.05980641189427975,1.556349268529037
Peter Polansky,1.0165386457300243,1.4092740605576042
Ernests Gulbis,2.362780713308786,1.3621239677561154
Vincent Millot,1.6573221796392865,1.392412426725832
