variable,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prior_lambda_std,0.7851479676035612,0.001381676888216107,0.0757048174464242,0.6519801024985928,0.730863344505215,0.7816520649535161,0.8324046316329761,0.9440152222288715,3002.1614705335505,1.0008066319474698
lambda[1],-0.3059257867576387,0.004630096349509553,0.19145694274873973,-0.6948152547300832,-0.4302297880546602,-0.30326263962930955,-0.180411842307203,0.06761612779807931,1709.8664160424448,1.0018534910837142
lambda[2],-0.33009721381201057,0.0044901632760427825,0.18995334713112627,-0.7067043731064139,-0.45722874074894004,-0.3320557329009927,-0.2070406150060971,0.03972019836816665,1789.6563018426207,1.000945047240817
lambda[3],-0.08233297752314495,0.006420349985471453,0.48391268814798744,-1.0391051291657458,-0.39267032717236094,-0.07658904506117087,0.23617047208681488,0.8649305104322415,5680.893046970565,0.9995025787921415
lambda[4],-0.395771571031124,0.005466837650228794,0.329899641232391,-1.025241694195908,-0.6114050761515564,-0.3981832006909075,-0.18217311420307722,0.25929871581482744,3641.5923914678174,1.0004739018730995
lambda[5],1.1489536904074296,0.004724439748035823,0.20103262308620953,0.7594792936160962,1.0133744769252564,1.1505828517391192,1.2818801564546325,1.5407461341193454,1810.641413272924,1.0008929031960556
lambda[6],-0.9275601326611965,0.005060513615755638,0.37285324140770815,-1.66975330926513,-1.1767933276551692,-0.9184593417107263,-0.6819606758539489,-0.22015589345639702,5428.585102991366,1.0003134578976436
lambda[7],-0.6652726540976819,0.0045221314893435696,0.23720688034568388,-1.1457506710254726,-0.8223830741931243,-0.6636138694499436,-0.4983246497900444,-0.21389211038093894,2751.4916015533872,0.9999768871917625
lambda[8],-0.3952772836269614,0.004351355348018926,0.1974901660476712,-0.779430034091552,-0.5285671369503842,-0.3923485638372902,-0.26249652352058345,-0.012679222853928779,2059.8796550909424,1.0024318485210637
lambda[9],0.046793167301617054,0.004500781332428253,0.23085850403677133,-0.41341777629752746,-0.10282950480398509,0.05071054617517441,0.19272248150124202,0.5104537387305598,2630.970188592854,1.0017783136107874
lambda[10],0.17082242003034914,0.007517808961591787,0.6109487884404768,-1.008187086271254,-0.23748368731611247,0.1675870535583829,0.5792868237043444,1.3567385854062581,6604.303832574559,0.9999723745036152
lambda[11],-0.04339195631992026,0.004534536356465337,0.18923513809614162,-0.4094833484230019,-0.170551626203773,-0.04067398132731259,0.08299473776098991,0.32202542906231146,1741.5573735367996,1.0004604969050614
lambda[12],-0.057999867213761616,0.0044734216233585245,0.2006041606029773,-0.4467484814334807,-0.19879940515275626,-0.05410485392203938,0.07440244655306778,0.33619597421471503,2010.945066556444,1.0004913003480849
lambda[13],-0.4418853311331006,0.005097216442514088,0.2893829482054056,-1.0179179522334492,-0.6360799777500679,-0.4368649281689126,-0.2508503785228613,0.1022948953514915,3223.1441049175955,1.0000963130187053
lambda[14],-0.7129779379356197,0.004901263613526956,0.3320852410356759,-1.381713287315261,-0.9378217091683696,-0.7086001116624551,-0.48229108257277803,-0.08463325028009469,4590.743478264362,0.999380009941188
lambda[15],-0.3723853511908735,0.005001175939302316,0.3826127580472706,-1.1651103264046891,-0.6230225916252099,-0.3656112427865012,-0.11765041583124272,0.38226003735339853,5852.947496677261,0.9996194133023986
lambda[16],-0.18439917452446572,0.005039942408427207,0.28046801088177886,-0.7388899983858674,-0.3802855535353628,-0.18076053149828125,0.004650659235511754,0.3661961009422866,3096.8168497765764,1.0005031128249307
lambda[17],0.6451707636597591,0.005051778774698792,0.22002676812182442,0.2097808378660122,0.4996274732617396,0.6434671497704528,0.7904075023439219,1.0902223554058592,1896.978425096784,1.0012442470452585
lambda[18],0.5813588278062556,0.004809285553149464,0.18663057845494918,0.21797143112502546,0.45319037555336905,0.5774811376043518,0.7054217137579658,0.9510917027183666,1505.9289276584177,1.0013211083778277
