variable,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
prior_lambda_std,0.578737106167312,0.0015642799074056773,0.06017574090340006,0.4691906000120481,0.5371947846899204,0.5731602191219609,0.616918887481568,0.7061899691042247,1479.8372612017233,0.9999489507677615
lambda[1],-0.30161649650129135,0.0040813468028937355,0.20273198204243834,-0.7070488641435082,-0.43417041188048133,-0.30166034628569105,-0.16327590461887537,0.08846815685415091,2467.388485555007,1.0007603063408965
lambda[2],0.11001720347377766,0.003672637994940848,0.1823492655094809,-0.25466079911174844,-0.010549479883437272,0.11268545326579092,0.23075301152959743,0.46088449337512616,2465.197910602067,1.001061285726815
lambda[3],0.06378086980308088,0.004010446910291166,0.18083483244282342,-0.29544970197294806,-0.058123675759993394,0.06449589282814236,0.18758772842181864,0.40907505622107354,2033.1931272801817,1.0009567705093663
lambda[4],0.2017170321366635,0.005559798365059995,0.32260012501993524,-0.41927149263317726,-0.012043095264352231,0.20417785129459992,0.4120135232128459,0.8616044066645402,3366.7508601144664,1.0004811807792262
lambda[5],0.3027470244948468,0.004079441737748751,0.17187073923954163,-0.029897354394688457,0.1842118944750224,0.30466525415935464,0.41867574752359127,0.6317953275807937,1775.016604168871,1.000248079881453
lambda[6],-0.12240139233911303,0.0051519805509890795,0.3241867246401711,-0.7603907056639893,-0.34093178015404974,-0.11738521613063935,0.09699787122764028,0.5088716246044104,3959.5152823353087,0.9998854207565187
lambda[7],0.1044695413172611,0.0039718505059231505,0.19048588840825695,-0.2626440508846461,-0.022492828153554884,0.10340443147305076,0.232186506562888,0.47454197688854344,2300.0635074218635,1.000127622862576
lambda[8],0.24318039098532768,0.0039667003730761725,0.20815412112832676,-0.15912001704547757,0.10496270243922526,0.24217906346113582,0.38173876391781425,0.6609238739296678,2753.665815835053,1.0008203254528392
lambda[9],0.8401248520837815,0.0039693349320331405,0.17013447763420753,0.5076246653012103,0.7302066652945944,0.8361326133682166,0.9490276264345663,1.1869202000219483,1837.1692667387465,1.0004417649413473
lambda[10],-0.3813764193667035,0.0080628944101538,0.5096945416971931,-1.393894847447877,-0.7203390443264455,-0.37590121540966204,-0.027413314891541047,0.5655348864862684,3996.1153944486264,0.9993314862200173
lambda[11],-0.4191329737828073,0.003943925139454901,0.26644180736058803,-0.9390841076084159,-0.6017421882645837,-0.41621172994052646,-0.24006247759009997,0.08957192672284003,4564.018709766032,1.0000872894337012
lambda[12],-0.567915452777995,0.004862874437820807,0.2799013994407327,-1.1247618550273906,-0.7567016024233815,-0.5620004746857125,-0.3789694047189976,-0.025686111295641488,3313.019771778201,1.0003876829842668
lambda[13],0.4541914352057413,0.0042351343394851,0.228618360710718,0.0010430167300625086,0.3037211933965035,0.4561155310806057,0.6100670363848063,0.9040627229189393,2913.9884837699037,0.9999798157138312
lambda[14],0.872778982991867,0.00436881060719055,0.2087519048840996,0.4629942912241594,0.7259000223719285,0.8740932907325999,1.0101963894956185,1.296864056440809,2283.1500702819003,0.9995058455147539
lambda[15],-0.39684815161110654,0.005164063863319641,0.32478994808530925,-1.0261070100096534,-0.6135565278307816,-0.39275279468881363,-0.18116438634680185,0.22416722072943507,3955.6872786193226,1.000460712551721
lambda[16],0.042243686361380324,0.003674105288877894,0.17387035931390343,-0.29849141743928576,-0.07494041492934589,0.03895067524814663,0.15857436106990677,0.3865351445805255,2239.483710228046,0.9998466901517354
lambda[17],0.5862433536623204,0.0039885425870376575,0.20312909637026885,0.18713289580454612,0.4486554839800624,0.5856841226035168,0.717562011611844,0.9844266309235687,2593.6764934815587,0.9997332365521849
lambda[18],-0.2725553057880963,0.004497605025599449,0.25740244227041403,-0.7675990435142546,-0.44292926151654444,-0.277388802665537,-0.09558093777444508,0.23174474258599304,3275.3875913268325,1.0000484685309754
